Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
Exportaciones por provincia y por país de destino. Valores anuales,Millones de dolares,Sector Externo,A,336,Datos exportaciones caba Alemania | Datos exportaciones caba Brasil | Datos exportaciones caba Chile | Datos exportaciones caba Espania | Datos exportaciones caba Estados Unidos,357.1_CABA_ALEMANIA__13 | 357.1_CABA_BRASISIL__11 | 357.1_CABA_CHILEILE__10 | 357.1_CABA_ESPANNIA__12 | 357.1_CABA_ESTADDOS__19
Situación Patrimonial del sistema financiero. Datos anual,Millones de pesos corrientes,Dinero y Bancos,A,247,Bancos Privados Extranjeros. Activo. Préstamos. Sector Privado | Bancos Privados Extranjeros. Pasivo. Depósitos Sector Privado | Bancos Privados Nacionales. Pasivo. Depósitos Sector Privado | Bancos Privados Extranjeros. Activo neteado | Bancos Privados. Pasivo. Depósitos Sector Privado,334.1_BCOS_PRIV_ADO11__53 | 334.1_BCOS_PRIV_ADO29__53 | 334.1_BCOS_PRIV_ADO2__53 | 334.1_BCOS_PRIV_ADO95__28 | 334.1_BCOS_PRIV_ADO_III__49
Situación Patrimonial del sistema financiero. Datos mensuales,Millones de pesos corrientes,Dinero y Bancos,M,247,Bancos Privados Extranjeros. Activo. Préstamos. Sector Privado | Bancos Privados Extranjeros. Pasivo. Depósitos Sector Privado | Bancos Privados Nacionales. Pasivo. Depósitos Sector Privado | Bancos Privados Extranjeros. Activo neteado | Bancos Privados. Pasivo. Depósitos Sector Privado,334.2_BCOS_PRIV_ADO11__53 | 334.2_BCOS_PRIV_ADO29__53 | 334.2_BCOS_PRIV_ADO2__53 | 334.2_BCOS_PRIV_ADO95__28 | 334.2_BCOS_PRIV_ADO_III__49
Cuenta Corriente del Balance de Pagos. Flujos monetarios. Datos anuales,Millones de dólares,Economía Internacional,A,194,Cuenta corriente de balance de pago Afganistán | Cuenta corriente de balance de pago Albania | Cuenta corriente de balance de pago Alemania | Cuenta corriente de balance de pago Angola | Cuenta corriente de balance de pago Anguila,339.1_AFGANISTANTAN__10 | 339.1_ALBANIANIA__7 | 339.1_ALEMANIANIA__8 | 339.1_ANGOLAOLA__6 | 339.1_ANGUILAILA__7
Cuenta Corriente del Balance de Pagos. En porcentaje del producto. Datos anuales,En porcentaje del PIB,Economía Internacional,A,193,Cuenta corriente de balance de pago Afganistán | Cuenta corriente de balance de pago Albania | Cuenta corriente de balance de pago Alemania | Cuenta corriente de balance de pago Angola | Cuenta corriente de balance de pago Anguila,340.1_AFGANISTANTAN__10 | 340.1_ALBANIANIA__7 | 340.1_ALEMANIANIA__8 | 340.1_ANGOLAOLA__6 | 340.1_ANGUILAILA__7
Índice de Precios al Consumidor GBA - Base 1988,Índice base 100,Precios,M,191,"Azúcar | Azúcar, dulces y cacao | Aparatos de radio y TV | Artículos de tocador | Artículos de belleza",176.1_AARCAR_1988_0_6 | 176.1_AAR_DULCAO_1988_0_19 | 176.1_AATOS_R_TV_1988_0_17 | 176.1_ACULOS_DOR_1988_0_17 | 176.1_ACULOS_EZA_1988_0_17
Flujos monetarios netos de Inversión Extranjera Directa. Datos anuales,Millones de dólares,Economía Internacional,A,172,Flujos netos de inversión extranjera directa Afganistán | Flujos netos de inversión extranjera directa Albania | Flujos netos de inversión extranjera directa Alemania | Flujos netos de inversión extranjera directa Angola | Flujos netos de inversión extranjera directa Antillas Holandesas,337.1_AFGANISTANTAN__10 | 337.1_ALBANIANIA__7 | 337.1_ALEMANIANIA__8 | 337.1_ANGOLAOLA__6 | 337.1_ANTILLAS_HSAS__19
Flujos porcentuales netos de Inversión Extranjera Directa. Datos anuales,En porcentaje del PIB,Economía Internacional,A,170,Flujos netos de inversión extranjera directa Afganistán | Flujos netos de inversión extranjera directa Albania | Flujos netos de inversión extranjera directa Alemania | Flujos netos de inversión extranjera directa Angola | Flujos netos de inversión extranjera directa Antillas Holandesas,338.1_AFGANISTANTAN__10 | 338.1_ALBANIANIA__7 | 338.1_ALEMANIANIA__8 | 338.1_ANGOLAOLA__6 | 338.1_ANTILLAS_HSAS__19
Incidencia absoluta mensual por región y por capítulo,Índice,Precios,M,144,Cuyo alimentos bebidas no alcoholicas acumulada | Cuyo alimentos bebidas no alcoholicas mensual | Cuyo bebidas alcoholicas tabaco acumulada | Cuyo bebidas alcoholicas tabaco mensual | Cuyo comunicaciones acumulada,345.1_CUYO_ALIMEADA__47 | 345.1_CUYO_ALIMEUAL__45 | 345.1_CUYO_BEBIDADA__41 | 345.1_CUYO_BEBIDUAL__39 | 345.1_CUYO_COMUNADA__29
Exportaciones por provincia y rubro. Datos anuales,Millones de dólares,Sector Externo,A,140,Exportaciones buenos aires cye | Exportaciones buenos aires moa | Exportaciones buenos aires moi | Exportaciones buenos aires total buenos aires | Exportaciones buenos aires pp,350.1_BUENOS_AIRCYE__16 | 350.1_BUENOS_AIRMOA__16 | 350.1_BUENOS_AIRMOI__16 | 350.1_BUENOS_AIRRES__31 | 350.1_BUENOS_AIR_PP__15
